Circulante,Ativo,Ano,Valor
Ativo circulante,Caixa e equivalentes de caixa,2012,27104
Ativo circulante,Caixa e equivalentes de caixa,2013,1963
Ativo circulante,Caixa e equivalentes de caixa,2014,4427
Ativo circulante,Caixa e equivalentes de caixa,2015,12132
Ativo circulante,Caixa e equivalentes de caixa,2016,1174
Ativo circulante,Caixa e equivalentes de caixa,2017,33335
Ativo circulante,Caixa e equivalentes de caixa,2018,9534
Ativo circulante,Caixa e equivalentes de caixa,2019,162514
Ativo circulante,Caixa e equivalentes de caixa,2020,197870
Ativo circulante,Aplicações financeiras,2012,6825
Ativo circulante,Aplicações financeiras,2013,23048
Ativo circulante,Aplicações financeiras,2014,57940
Ativo circulante,Aplicações financeiras,2015,29375
Ativo circulante,Aplicações financeiras,2016,232045
Ativo circulante,Aplicações financeiras,2017,76334
Ativo circulante,Aplicações financeiras,2018,30201
Ativo circulante,Aplicações financeiras,2019,0
Ativo circulante,Aplicações financeiras,2020,0
Ativo circulante,Contas a receber,2012,4615
Ativo circulante,Contas a receber,2013,16095
Ativo circulante,Contas a receber,2014,9239
Ativo circulante,Contas a receber,2015,13104
Ativo circulante,Contas a receber,2016,15933
Ativo circulante,Contas a receber,2017,20074
Ativo circulante,Contas a receber,2018,20771
Ativo circulante,Contas a receber,2019,24249
Ativo circulante,Contas a receber,2020,33314
Ativo circulante,Impostos a compensar,2012,26
Ativo circulante,Impostos a compensar,2013,394
Ativo circulante,Impostos a compensar,2014,1810
Ativo circulante,Impostos a compensar,2015,2442
Ativo circulante,Impostos a compensar,2016,4416
Ativo circulante,Impostos a compensar,2017,6812
Ativo circulante,Impostos a compensar,2018,7774
Ativo circulante,Impostos a compensar,2019,107
Ativo circulante,Impostos a compensar,2020,9
Ativo circulante,Estoques,2012,2031
Ativo circulante,Estoques,2013,2401
Ativo circulante,Estoques,2014,2904
Ativo circulante,Estoques,2015,3991
Ativo circulante,Estoques,2016,4178
Ativo circulante,Estoques,2017,4704
Ativo circulante,Estoques,2018,4536
Ativo circulante,Estoques,2019,5262
Ativo circulante,Estoques,2020,6074
Ativo circulante,Adiantamentos,2012,464
Ativo circulante,Adiantamentos,2013,572
Ativo circulante,Adiantamentos,2014,1225
Ativo circulante,Adiantamentos,2015,534
Ativo circulante,Adiantamentos,2016,978
Ativo circulante,Adiantamentos,2017,1082
Ativo circulante,Adiantamentos,2018,4199
Ativo circulante,Adiantamentos,2019,775
Ativo circulante,Adiantamentos,2020,745
Ativo circulante,Outras contas a receber,2012,4
Ativo circulante,Outras contas a receber,2013,12
Ativo circulante,Outras contas a receber,2014,208
Ativo circulante,Outras contas a receber,2015,314
Ativo circulante,Outras contas a receber,2016,1984
Ativo circulante,Outras contas a receber,2017,2474
Ativo circulante,Outras contas a receber,2018,3146
Ativo circulante,Outras contas a receber,2019,3930
Ativo circulante,Outras contas a receber,2020,4030
Ativo não circulante,Impostos a compensar,2012,381
Ativo não circulante,Impostos a compensar,2013,0
Ativo não circulante,Impostos a compensar,2014,0
Ativo não circulante,Impostos a compensar,2015,0
Ativo não circulante,Impostos a compensar,2016,0
Ativo não circulante,Impostos a compensar,2017,0
Ativo não circulante,Impostos a compensar,2018,0
Ativo não circulante,Impostos a compensar,2019,0
Ativo não circulante,Impostos a compensar,2020,0
Ativo não circulante,Impostos diferidos ativos,2012,75144
Ativo não circulante,Impostos diferidos ativos,2013,88603
Ativo não circulante,Impostos diferidos ativos,2014,81920
Ativo não circulante,Impostos diferidos ativos,2015,73830
Ativo não circulante,Impostos diferidos ativos,2016,66833
Ativo não circulante,Impostos diferidos ativos,2017,59836
Ativo não circulante,Impostos diferidos ativos,2018,50999
Ativo não circulante,Impostos diferidos ativos,2019,48754
Ativo não circulante,Impostos diferidos ativos,2020,37744
Ativo não circulante,Depósitos judiciais,2012,7
Ativo não circulante,Depósitos judiciais,2013,519
Ativo não circulante,Depósitos judiciais,2014,635
Ativo não circulante,Depósitos judiciais,2015,535
Ativo não circulante,Depósitos judiciais,2016,1343
Ativo não circulante,Depósitos judiciais,2017,2081
Ativo não circulante,Depósitos judiciais,2018,12513
Ativo não circulante,Depósitos judiciais,2019,20165
Ativo não circulante,Depósitos judiciais,2020,0
Ativo não circulante,Outras contas a receber,2012,0
Ativo não circulante,Outras contas a receber,2013,0
Ativo não circulante,Outras contas a receber,2014,0
Ativo não circulante,Outras contas a receber,2015,0
Ativo não circulante,Outras contas a receber,2016,0
Ativo não circulante,Outras contas a receber,2017,2286
Ativo não circulante,Outras contas a receber,2018,1524
Ativo não circulante,Outras contas a receber,2019,762
Ativo não circulante,Outras contas a receber,2020,0
Ativo não circulante,Investimentos,2012,0
Ativo não circulante,Investimentos,2013,0
Ativo não circulante,Investimentos,2014,439
Ativo não circulante,Investimentos,2015,984
Ativo não circulante,Investimentos,2016,817
Ativo não circulante,Investimentos,2017,330
Ativo não circulante,Investimentos,2018,345
Ativo não circulante,Investimentos,2019,355
Ativo não circulante,Investimentos,2020,358
Ativo não circulante,Imobilizado,2012,489707
Ativo não circulante,Imobilizado,2013,475788
Ativo não circulante,Imobilizado,2014,461440
Ativo não circulante,Imobilizado,2015,465788
Ativo não circulante,Imobilizado,2016,553514
Ativo não circulante,Imobilizado,2017,657981
Ativo não circulante,Imobilizado,2018,703912
Ativo não circulante,Imobilizado,2019,702109
Ativo não circulante,Imobilizado,2020,676594
Ativo não circulante,Intangível,2012,2523
Ativo não circulante,Intangível,2013,2164
Ativo não circulante,Intangível,2014,2389
Ativo não circulante,Intangível,2015,1988
Ativo não circulante,Intangível,2016,2220
Ativo não circulante,Intangível,2017,2406
Ativo não circulante,Intangível,2018,13567
Ativo não circulante,Intangível,2019,12581
Ativo não circulante,Intangível,2020,10523
